feature,trade_type,optimal_win_range_start,optimal_win_range_end
62_ZLEMA_percent_away,SE,-1.2566950497379796,-0.2046444065489723
CHAIKIN,SE,-2.8359972257660178,-1.2739892708226632
CHAIKIN,SE,0.4434016744030145,3.133980821923243
CHAIKIN,SE,3.4611029067281343,5.333876842236136
VROC,SE,-0.06984546733263253,2.50893881614998
VROC,SE,4.114725335680051,5.495973909682611
ADX,SE,-1.8132176300748826,-1.390044047222819
ADX,SE,-0.4581617956230626,-0.1565380716753153
ADX,SE,0.7618386400461838,2.0313593886023744
ADX,SE,2.616599449993526,2.6841271493848122
DM_ADX_PLOT,SE,-1.8132176300748826,-1.390044047222819
DM_ADX_PLOT,SE,-0.4581617956230626,-0.1565380716753153
DM_ADX_PLOT,SE,0.7618386400461838,2.0313593886023744
DM_ADX_PLOT,SE,2.616599449993526,2.6841271493848122
AWESOME,SE,0.43056113596236467,0.5141574636598276
AWESOME,SE,0.7778074202441339,1.15506264267371
RIND,SE,0.5638455798366553,2.777942167876533
CHOP_INDEX,SE,-1.0594705519812733,0.9687156469932896
CHOP_INDEX,SE,1.9723541784446201,2.9620532858480155
1000_SMA_percent_away,SE,-1.6076826375577469,-1.287814440380451
1000_SMA_percent_away,SE,-0.9494923087506189,0.25001343066424053
1000_SMA_percent_away,SE,1.529486219373424,3.608629501025847
14_MA_ENVELOPES_UPPER_percent_away,SE,-2.559907657007741,-2.3937361909059045
14_MA_ENVELOPES_UPPER_percent_away,SE,-1.0537577727655607,-0.6754525201507409
